"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Photo Art Prints","ART-PAP-HPR-A1","HPR, Hahnemühle Photo Rag, 308gsm, 59.4x84.1cm / 23x33"" (A1)","59.4x84.1cm","23x33""",,"HPR","308gsm","   48.00","USD","US","US","Overnight","   34.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","ART-PAP-HPR-A1","HPR, Hahnemühle Photo Rag, 308gsm, 59.4x84.1cm / 23x33"" (A1)","59.4x84.1cm","23x33""",,"HPR","308gsm","   48.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-HPR-A3","HPR, Hahnemühle Photo Rag, 308gsm, 29.7x41.9cm / 12x17"" (A3)","29.7x41.9cm","12x17""",,"HPR","308gsm","   21.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","ART-PAP-HPR-A3","HPR, Hahnemühle Photo Rag, 308gsm, 29.7x41.9cm / 12x17"" (A3)","29.7x41.9cm","12x17""",,"HPR","308gsm","   21.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-HPR-A3","HPR, Hahnemühle Photo Rag, 308gsm, 29.7x41.9cm / 12x17"" (A3)","29.7x41.9cm","12x17""",,"HPR","308gsm","   21.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","ART-PAP-HPR-A3","HPR, Hahnemühle Photo Rag, 308gsm, 29.7x41.9cm / 12x17"" (A3)","29.7x41.9cm","12x17""",,"HPR","308gsm","   21.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-10X20","LPP, Lustre Photo Paper, 240gsm, 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   16.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-10X20","LPP, Lustre Photo Paper, 240gsm, 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   16.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-10X20","LPP, Lustre Photo Paper, 240gsm, 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   16.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-10X20","LPP, Lustre Photo Paper, 240gsm, 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   16.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-11X14","LPP, Lustre Photo Paper, 240gsm, 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   15.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-11X14","LPP, Lustre Photo Paper, 240gsm, 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   15.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-11X14","LPP, Lustre Photo Paper, 240gsm, 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   15.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-11X14","LPP, Lustre Photo Paper, 240gsm, 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   15.00","USD","US","US","Standard","    8.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","ART-PAP-LPP-11X50","LPP, Lustre Photo Paper, 240gsm, 27.9x127cm / 11x50""","27.9x127cm","11x50""",,"LPP","240gsm","   25.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
